Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²),Geo_area,Population,Actual_cases
Bangladesh,East,2017,Lake,5.95,6.05,2.17,7.6,24.27,16.16,4687,Filtration,58,140,43,73,71,72939,73.73,70,76,1205,15.69,186,46544,8657184,3722
Bangladesh,Central,2009,River,0.29,6.04,3.47,3.08,43.47,2.1,3367,No treatment,47,27,23,88,37,63048,41.43,80,50,2545,29.12,794,31178,24755332,5693
Bangladesh,South,2002,River,3.49,7.29,0.73,9.38,1.11,7.73,2078,Filtration,31,305,34,39,71,9144,44.84,46,72,704,2.14,13,13225,171925,58
Bangladesh,West,2007,Pond,6.47,8.03,2.08,3.41,49.59,14.98,4694,No treatment,59,402,48,20,60,54369,26.39,13,40,2687,3.35,771,40437,31176927,14964
Bangladesh,North,2015,Spring,5.64,8.17,1.99,9.52,23.15,16.57,2390,No treatment,89,97,7,49,96,45098,94.03,52,40,1025,6.09,75,34338,2575350,180
Bangladesh,North,2008,Lake,6.01,6.81,3.28,8.92,1.57,13.06,942,Chlorination,37,475,27,80,76,12023,42.57,65,51,1146,10.5,559,34338,19194942,5182
Bangladesh,Central,2023,Lake,1.08,8.1,0.18,4.36,31.82,2.79,2364,Boiling,38,310,16,96,89,3420,63.41,87,95,1536,1.2,365,31178,11379970,1820
Bangladesh,North,2023,Lake,3.11,8.33,0.91,5.1,41.42,6.09,155,No treatment,70,44,13,88,53,10999,10.56,32,32,2349,10.44,558,34338,19160604,2490
Bangladesh,East,2004,Spring,6.48,7.6,0.17,3.39,1.65,10.72,3586,Filtration,45,178,20,79,78,65212,49.99,57,49,2523,23.69,931,46544,43332464,8666
Bangladesh,East,2010,Pond,2.87,6.77,1.85,6.02,2.05,13.4,4255,Boiling,73,9,39,54,7,8077,59.59,76,75,828,3.0,874,46544,40679456,15864
Bangladesh,Central,2018,Pond,7.19,7.67,2.72,6.31,47.05,1.25,529,No treatment,85,151,31,49,87,76310,56.83,43,96,1927,19.62,859,31178,26781902,8302
Bangladesh,East,2004,Lake,7.09,7.82,3.5,4.2,32.1,6.56,2704,Filtration,59,36,41,55,86,5246,78.39,66,62,729,13.09,178,46544,8284832,3396
Bangladesh,South,2013,Pond,1.07,7.72,1.93,6.69,25.34,17.1,2372,Filtration,99,251,23,56,97,84444,48.68,43,84,1923,27.78,189,13225,2499525,574
Bangladesh,South,2008,Spring,8.48,7.36,2.08,5.52,3.06,10.05,3251,Boiling,90,292,24,81,9,78820,19.71,21,47,2738,2.93,293,13225,3874925,929
Bangladesh,South,2016,Spring,8.83,7.96,0.59,7.79,49.45,12.41,4694,Boiling,40,358,10,54,43,58573,34.37,52,40,1235,19.34,229,13225,3028525,302
Bangladesh,South,2007,Pond,6.94,7.44,3.94,5.53,44.44,9.45,3932,Boiling,89,74,6,83,81,27545,85.46,47,89,1995,39.89,798,13225,10553550,633
Bangladesh,West,2002,Tap,3.17,6.0,3.65,6.58,25.12,8.89,3728,No treatment,56,336,8,23,3,98534,0.92,18,40,340,31.76,250,40437,10109250,808
Bangladesh,South,2018,Lake,5.02,7.98,4.69,5.35,42.99,9.35,162,Chlorination,37,195,6,45,44,51372,0.59,75,46,2024,11.32,657,13225,8688825,521
Bangladesh,East,2004,Pond,3.26,6.56,0.02,8.17,41.64,10.65,2605,No treatment,57,171,13,75,39,16850,9.66,28,95,2151,37.1,158,46544,7353952,956
Bangladesh,East,2007,Spring,9.75,8.06,4.93,5.86,37.94,3.47,471,Boiling,93,117,5,95,19,31120,7.85,38,34,1565,27.27,272,46544,12659968,632
Bangladesh,North,2020,Spring,7.34,7.38,2.12,9.63,2.33,3.36,2199,Filtration,31,233,7,54,11,46354,87.03,62,51,2823,23.68,941,34338,32312058,2261
Bangladesh,Central,2005,Spring,2.99,6.62,4.12,4.43,38.69,18.47,3731,Chlorination,48,353,26,27,11,49934,46.79,73,45,1423,23.28,572,31178,17833816,4636
Bangladesh,South,2022,River,7.17,6.66,4.06,9.86,0.79,6.78,3486,Filtration,63,197,40,7,50,29486,83.11,56,53,2789,37.88,885,13225,11704125,4681
Bangladesh,East,2000,Lake,1.05,6.27,2.63,5.03,46.15,14.82,3602,Boiling,79,488,7,4,38,69459,37.58,80,72,2817,24.81,121,46544,5631824,394
Bangladesh,North,2007,Tap,3.96,7.35,1.08,5.62,43.65,18.77,2376,Chlorination,36,57,13,21,35,70212,45.54,56,24,1191,5.49,181,34338,6215178,807
Bangladesh,East,2005,Well,2.0,6.27,3.49,6.12,18.25,9.32,3907,No treatment,75,305,23,78,64,24610,42.57,58,76,2631,10.58,629,46544,29276176,6733
Bangladesh,East,2011,Pond,7.22,6.32,1.01,5.64,13.94,4.03,2383,Boiling,39,39,20,86,46,20487,23.66,48,94,530,39.43,323,46544,15033712,3006
Bangladesh,West,2016,Well,8.42,7.72,4.75,4.3,40.05,6.89,1586,No treatment,58,69,13,86,66,4128,84.99,15,43,317,39.11,797,40437,32228289,4189
Bangladesh,South,2023,Pond,1.75,7.11,0.37,4.8,3.53,16.83,2286,Filtration,40,289,21,25,67,63188,26.21,41,60,800,21.76,972,13225,12854700,2699
Bangladesh,North,2001,Well,9.42,8.01,1.03,6.54,6.01,4.0,992,Filtration,54,472,7,47,80,47114,77.54,31,93,2727,22.46,833,34338,28603554,2002
Bangladesh,West,2007,Spring,4.52,7.82,1.58,7.48,12.05,16.73,4171,Filtration,43,38,48,5,22,41519,77.63,45,45,1227,37.15,357,40437,14436009,6929
Bangladesh,North,2023,Well,5.94,6.27,0.87,5.59,0.29,13.49,3003,Boiling,41,174,0,63,40,74536,81.25,67,93,1381,3.23,253,34338,8687514,0
Bangladesh,East,2017,River,6.45,6.05,2.2,4.14,22.93,5.88,1767,Filtration,31,65,3,19,67,9938,83.87,48,48,2751,21.49,418,46544,19455392,583
Bangladesh,West,2002,Tap,4.07,8.29,2.25,6.05,44.35,18.31,4523,Boiling,83,236,45,50,69,5696,69.02,15,98,1146,22.82,981,40437,39668697,17850
Bangladesh,West,2023,Spring,3.44,6.87,4.39,6.09,28.35,17.42,1,Chlorination,68,70,20,69,72,60492,99.28,46,93,1039,27.53,379,40437,15325623,3065
Bangladesh,North,2009,Pond,5.2,6.12,4.22,5.2,36.95,18.26,2138,No treatment,47,450,34,45,55,47096,35.32,81,32,822,35.81,253,34338,8687514,2953
Bangladesh,West,2022,Pond,6.45,8.31,1.63,7.23,2.89,6.61,1542,No treatment,70,165,36,14,48,23411,24.46,53,51,2126,27.81,750,40437,30327750,10917
Bangladesh,North,2021,Lake,0.46,6.87,2.72,5.06,40.05,16.88,3420,Chlorination,81,69,31,91,73,70875,46.66,83,97,2258,33.94,266,34338,9133908,2831
Bangladesh,North,2001,Pond,6.76,7.81,4.11,7.42,6.08,14.26,3713,Chlorination,73,260,18,90,30,21715,77.42,88,57,353,32.38,237,34338,8138106,1464
Bangladesh,Central,2011,River,6.04,7.63,0.11,3.21,34.41,15.96,2647,Chlorination,83,339,44,87,59,87343,12.87,11,62,264,25.44,281,31178,8761018,3854
Bangladesh,West,2024,Tap,7.31,6.55,2.38,4.21,15.57,0.75,4161,Boiling,80,387,43,41,18,2806,28.23,57,47,1728,6.8,913,40437,36918981,15875
Bangladesh,West,2005,Pond,8.67,7.73,0.4,3.99,27.17,1.25,3002,Chlorination,61,140,0,29,36,97147,31.82,71,32,2983,6.34,557,40437,22523409,0
Bangladesh,South,2019,Lake,7.49,7.54,4.07,5.32,29.0,15.26,2838,Filtration,33,358,39,96,97,26629,72.75,75,87,573,21.17,859,13225,11360275,4430
Bangladesh,Central,2011,Spring,1.74,7.02,0.08,9.85,7.93,19.58,4756,Boiling,31,426,16,6,28,59617,44.34,48,25,661,4.71,64,31178,1995392,319
Bangladesh,Central,2007,Well,6.34,7.43,1.3,8.33,11.56,15.17,1189,Chlorination,42,275,27,4,81,89281,14.95,61,65,484,26.99,705,31178,21980490,5934
Bangladesh,South,2014,Pond,6.23,7.2,1.39,9.3,13.0,15.65,3376,Chlorination,94,289,46,0,33,87548,19.93,11,29,780,11.97,540,13225,7141500,3285
Bangladesh,Central,2023,River,1.57,7.76,3.82,9.56,14.12,18.48,4582,Chlorination,61,188,23,22,83,13510,7.77,39,66,2738,31.67,848,31178,26438944,6080
Bangladesh,South,2023,Well,8.42,8.42,2.65,7.63,48.13,5.05,739,Boiling,64,205,3,86,32,29898,34.19,26,66,1731,31.94,768,13225,10156800,304
Bangladesh,North,2004,Pond,9.13,7.87,4.23,8.1,11.56,13.9,4094,Chlorination,55,305,22,0,16,33259,3.39,28,57,1407,38.29,755,34338,25925190,5703
Bangladesh,East,2011,Well,6.66,6.44,3.79,9.7,29.86,13.64,3022,Filtration,68,297,2,13,78,22956,84.46,34,37,2242,33.88,467,46544,21736048,434
Bangladesh,South,2003,Tap,3.99,7.61,1.02,5.27,18.74,14.51,4167,Boiling,70,64,33,46,68,89538,32.79,61,88,791,26.89,61,13225,806725,266
Bangladesh,South,2016,Well,4.29,7.1,1.39,8.43,44.53,7.5,3036,No treatment,37,84,48,26,26,41748,38.31,42,40,632,8.2,107,13225,1415075,679
Bangladesh,South,2005,Spring,4.49,7.23,3.79,9.05,36.91,19.09,4046,Filtration,60,150,10,5,14,65002,41.96,50,52,1642,21.4,997,13225,13185325,1318
Bangladesh,Central,2013,River,7.26,6.75,4.42,3.22,39.07,12.42,2136,Boiling,83,441,47,11,13,81508,75.92,72,62,219,29.28,362,31178,11286436,5304
Bangladesh,Central,2012,Well,6.57,7.36,3.33,5.21,2.19,16.16,2087,Chlorination,38,204,31,99,23,87022,29.01,17,34,2829,3.1,725,31178,22604050,7007
Bangladesh,Central,2003,Well,9.5,6.26,4.23,6.26,3.18,5.52,2891,Filtration,75,441,34,45,95,99325,73.87,85,48,814,1.09,129,31178,4021962,1367
Bangladesh,Central,2012,Tap,9.14,7.18,0.37,9.45,43.56,0.39,2218,No treatment,39,358,49,31,63,61901,88.47,19,89,348,10.38,40,31178,1247120,611
Bangladesh,East,2005,River,2.68,6.42,4.61,9.05,14.79,0.93,4061,No treatment,43,108,46,81,56,57458,15.6,29,40,341,11.67,31,46544,1442864,663
Bangladesh,East,2022,Well,2.23,7.11,3.85,4.3,10.66,12.77,4571,Boiling,43,299,8,73,88,92414,74.23,74,69,1418,23.84,413,46544,19222672,1537
Bangladesh,East,2002,Well,9.74,6.82,1.87,7.47,4.07,1.82,1373,Filtration,68,234,10,78,66,93124,92.63,46,68,291,0.86,815,46544,37933360,3793
Bangladesh,East,2021,Well,4.22,8.32,1.44,5.71,35.85,6.11,533,No treatment,64,222,21,85,94,56659,65.35,57,38,1940,31.32,829,46544,38584976,8102
Bangladesh,Central,2014,Spring,1.07,6.36,2.56,8.76,26.97,17.27,1009,Boiling,87,459,16,90,97,64571,78.65,74,72,2000,30.95,845,31178,26345410,4215
Bangladesh,North,2016,River,7.93,8.22,2.07,6.2,18.25,7.92,2933,Chlorination,86,477,49,84,2,3535,30.96,87,31,888,16.18,303,34338,10404414,5098
Bangladesh,South,2002,Spring,4.32,6.0,3.66,3.2,11.42,12.84,4216,Filtration,44,381,26,15,90,88902,88.84,62,71,576,16.9,499,13225,6599275,1715
Bangladesh,North,2016,Spring,4.93,8.34,3.22,5.14,45.76,8.04,1846,Boiling,60,182,23,56,28,89045,10.67,63,99,959,18.92,873,34338,29977074,6894
Bangladesh,East,2005,Pond,5.54,7.82,3.25,9.28,33.29,14.97,2809,Chlorination,66,411,32,50,49,67150,46.83,22,96,425,13.93,680,46544,31649920,10127
Bangladesh,South,2009,Well,1.22,8.08,3.8,3.7,31.18,1.27,4661,No treatment,66,49,43,40,2,80675,22.09,53,86,1093,26.81,168,13225,2221800,955
Bangladesh,South,2001,Pond,8.7,8.19,2.99,6.67,17.94,17.53,3388,No treatment,40,433,2,90,56,18776,69.13,68,75,2130,1.41,576,13225,7617600,152
Bangladesh,East,2011,Spring,4.0,7.8,1.46,8.9,37.51,13.0,2142,Chlorination,83,87,16,56,90,11876,57.98,87,54,2860,10.64,486,46544,22620384,3619
Bangladesh,South,2019,Spring,0.72,6.92,0.19,8.47,41.9,12.3,2462,Chlorination,76,106,46,44,27,90316,7.54,25,22,340,6.69,483,13225,6387675,2938
Bangladesh,West,2024,Tap,6.03,8.12,4.6,9.9,29.26,7.11,3365,Boiling,97,488,23,37,13,84756,77.39,38,99,341,16.92,680,40437,27497160,6324
Bangladesh,West,2021,Spring,9.92,8.16,3.27,9.87,27.05,3.13,1714,Boiling,55,267,20,14,44,67258,85.14,68,49,2653,26.17,707,40437,28588959,5717
Bangladesh,Central,2006,Tap,0.56,6.12,4.32,9.45,11.45,13.61,1690,Filtration,66,52,46,12,29,10458,96.99,82,63,2687,16.32,239,31178,7451542,3427
Bangladesh,North,2022,Well,2.9,7.54,2.99,4.64,29.4,12.47,849,Chlorination,84,383,25,73,3,24567,54.35,10,23,1278,28.54,668,34338,22937784,5734
Bangladesh,West,2001,Pond,6.9,7.8,4.6,6.89,10.59,19.48,1268,Chlorination,92,194,4,13,48,71127,4.59,50,53,1171,35.3,311,40437,12575907,503
Bangladesh,North,2019,Spring,7.87,7.56,2.44,6.84,40.97,14.54,1901,Boiling,93,207,33,10,69,84134,29.02,44,66,701,14.19,43,34338,1476534,487
Bangladesh,South,2021,Tap,0.26,7.11,3.09,6.03,37.76,8.9,1196,Filtration,58,497,38,48,59,9226,60.21,54,29,2149,24.87,401,13225,5303225,2015
Bangladesh,North,2021,River,1.18,7.98,4.79,5.79,30.26,8.63,3387,No treatment,34,144,32,17,49,67014,95.66,31,93,529,4.81,146,34338,5013348,1604
Bangladesh,East,2009,Tap,5.17,8.48,2.34,5.33,42.91,12.19,4001,Chlorination,48,155,49,10,23,10038,56.57,10,22,775,28.61,304,46544,14149376,6933
Bangladesh,South,2012,Tap,3.94,8.0,4.72,9.57,44.41,10.4,3243,Chlorination,56,216,34,81,73,11476,22.96,18,66,1085,11.54,475,13225,6281875,2135
Bangladesh,South,2018,Pond,9.33,8.48,2.14,5.45,48.56,8.72,2622,Filtration,89,213,36,71,45,72979,19.01,14,25,2033,7.53,713,13225,9429425,3394
Bangladesh,West,2020,Lake,5.42,7.68,1.66,5.67,42.02,5.73,4807,No treatment,79,397,21,72,78,32446,54.63,85,86,222,30.15,513,40437,20744181,4356
Bangladesh,West,2012,Tap,6.43,7.59,2.35,6.9,12.04,15.18,1876,No treatment,51,393,14,55,76,48832,26.11,19,91,1613,26.56,71,40437,2871027,401
Bangladesh,South,2021,Spring,6.76,8.28,1.78,3.7,35.42,9.53,408,Boiling,30,347,32,86,65,80301,17.46,54,69,2723,19.76,130,13225,1719250,550
Bangladesh,North,2013,Lake,3.08,7.6,3.15,7.01,45.92,13.53,2127,No treatment,66,359,44,23,62,8309,67.32,44,97,2050,39.04,396,34338,13597848,5983
Bangladesh,Central,2022,Lake,1.12,7.31,2.7,6.36,6.14,16.36,3639,Boiling,57,71,49,94,61,64023,65.3,58,46,882,16.49,282,31178,8792196,4308
Bangladesh,North,2009,Pond,7.22,6.87,1.83,9.79,42.47,14.04,174,Filtration,69,342,42,74,91,19722,71.99,88,75,2208,15.62,116,34338,3983208,1672
Bangladesh,South,2006,Well,7.1,7.67,2.96,8.7,8.91,15.04,3676,Boiling,83,57,26,16,13,61948,38.62,26,43,932,28.41,851,13225,11254475,2926
Bangladesh,North,2010,Lake,4.17,6.06,0.94,9.96,17.96,5.65,1113,Chlorination,89,176,37,14,94,18233,39.42,20,52,755,10.21,784,34338,26920992,9960
Bangladesh,South,2023,Well,4.99,8.24,3.14,5.76,46.44,18.48,3905,Boiling,53,306,8,31,62,79927,22.73,53,25,2611,37.74,883,13225,11677675,934
Bangladesh,East,2003,River,9.8,7.67,2.95,8.21,34.82,13.78,2040,No treatment,83,460,5,85,85,61938,92.79,42,53,2943,17.36,861,46544,40074384,2003
Bangladesh,West,2022,River,1.75,6.1,1.86,9.34,35.51,1.43,944,Boiling,37,218,3,75,71,12242,17.92,20,91,1345,36.16,214,40437,8653518,259
Bangladesh,South,2008,Spring,2.74,8.07,3.49,4.57,21.79,6.17,1350,No treatment,87,57,34,36,8,28943,61.56,74,36,2068,36.56,292,13225,3861700,1312
Bangladesh,West,2023,Tap,1.42,6.68,1.78,8.6,15.75,19.59,2923,Filtration,70,300,7,66,26,81552,52.01,12,66,1196,31.35,662,40437,26769294,1873
Bangladesh,West,2005,Spring,2.96,7.29,3.53,9.98,34.42,19.02,4115,Chlorination,89,410,30,14,49,16104,83.24,16,97,2591,25.09,80,40437,3234960,970
Bangladesh,West,2005,Well,6.42,6.18,1.44,6.05,4.79,6.67,542,Chlorination,77,416,41,77,80,81945,78.96,57,87,1449,31.27,915,40437,36999855,15169
Bangladesh,West,2020,Spring,9.66,7.16,3.54,6.22,7.36,12.57,4239,Boiling,31,83,22,0,15,68520,31.66,60,40,1152,0.31,705,40437,28508085,6271
Bangladesh,East,2022,Spring,5.79,7.68,2.13,9.2,19.67,1.35,2942,Filtration,35,159,43,31,54,92111,44.34,15,68,2870,17.9,90,46544,4188960,1801
Bangladesh,East,2014,Pond,2.85,6.68,4.52,8.91,1.74,4.7,2612,Chlorination,84,154,43,67,87,40673,22.28,15,54,1567,10.94,317,46544,14754448,6344
Bangladesh,North,2005,Tap,3.63,8.29,3.95,8.69,31.23,15.56,3648,Boiling,83,46,48,77,12,28481,83.06,78,74,1199,31.6,676,34338,23212488,11141
Bangladesh,Central,2001,Tap,2.25,6.03,2.85,5.77,6.92,18.3,1358,Boiling,36,174,30,98,53,74698,98.37,44,63,1121,34.77,532,31178,16586696,4976
Bangladesh,East,2018,River,2.93,8.29,4.53,9.28,46.3,4.57,177,No treatment,40,300,7,80,84,83662,79.33,50,58,1406,24.8,776,46544,36118144,2528
Bangladesh,North,2013,Lake,5.79,7.04,2.25,8.1,1.91,8.04,1394,Chlorination,31,400,7,9,85,69713,74.01,73,50,1753,17.4,615,34338,21117870,1478
Bangladesh,South,2020,Lake,9.85,6.49,4.87,4.41,31.94,4.15,1208,Chlorination,33,28,24,39,47,15442,40.35,84,43,1170,32.28,443,13225,5858675,1406
Bangladesh,North,2018,Spring,5.69,7.61,2.02,8.99,11.62,2.97,2366,Boiling,71,329,10,62,87,42080,79.87,55,64,2913,23.45,137,34338,4704306,470
Bangladesh,North,2006,Tap,6.89,7.99,2.44,6.28,9.06,10.85,2602,Filtration,30,130,39,47,32,47837,83.22,38,64,2449,31.46,315,34338,10816470,4218
Bangladesh,North,2020,Spring,1.54,6.12,1.56,9.5,23.15,7.14,4645,No treatment,77,151,18,93,26,18637,87.58,13,35,1805,22.67,494,34338,16962972,3053
Bangladesh,South,2012,Tap,9.49,8.35,0.81,8.73,42.82,1.95,1234,Chlorination,33,391,33,71,28,89148,94.26,70,56,437,26.24,113,13225,1494425,493
Bangladesh,North,2012,Pond,7.02,8.42,0.85,4.19,16.54,0.8,3841,Filtration,66,100,1,62,67,66102,14.86,33,78,1011,17.79,723,34338,24826374,248
Bangladesh,West,2011,Spring,0.14,8.43,0.15,3.81,15.98,1.88,2733,No treatment,67,423,14,90,34,50191,99.48,17,71,1131,1.48,488,40437,19733256,2762
Bangladesh,North,2024,Spring,4.03,6.18,0.79,3.44,39.78,18.87,939,Filtration,95,188,11,81,40,18236,55.85,65,97,1024,29.59,535,34338,18370830,2020
Bangladesh,North,2016,Pond,1.72,6.11,3.6,3.82,34.08,0.69,3134,Boiling,31,407,17,80,45,48021,49.02,22,78,563,36.16,271,34338,9305598,1581
Bangladesh,South,2016,River,7.14,7.28,2.9,4.28,28.82,12.93,649,Chlorination,73,450,14,9,35,65143,24.45,46,40,2219,10.15,698,13225,9231050,1292
Bangladesh,East,2010,River,4.67,7.22,0.03,5.1,22.88,16.87,1249,No treatment,60,422,47,55,71,70406,8.26,76,81,2605,15.99,399,46544,18571056,8728
Bangladesh,Central,2017,Well,8.01,6.43,1.27,8.23,48.35,11.62,2302,Filtration,74,241,36,56,78,15080,84.86,13,43,1572,39.09,180,31178,5612040,2020
Bangladesh,North,2006,River,9.18,8.11,3.17,8.23,8.93,16.21,4100,Filtration,64,441,26,40,9,54136,96.87,67,53,1259,21.39,369,34338,12670722,3294
Bangladesh,West,2013,Spring,4.27,7.57,2.22,7.08,39.91,16.1,1467,Filtration,44,178,35,12,70,47459,10.46,13,25,2675,38.94,277,40437,11201049,3920
Bangladesh,North,2004,Well,9.72,7.54,4.15,9.41,39.65,18.22,2856,Filtration,51,370,18,25,21,69170,48.47,74,81,2647,2.01,393,34338,13494834,2429
Bangladesh,Central,2006,Tap,3.99,7.71,0.19,7.21,40.68,15.03,342,Chlorination,92,210,11,4,46,81193,7.21,53,41,1098,38.83,662,31178,20639836,2270
Bangladesh,North,2016,Lake,0.3,7.43,3.1,9.33,7.49,2.65,249,Boiling,98,469,40,36,57,72088,96.44,70,80,964,9.29,521,34338,17890098,7156
Bangladesh,East,2008,Tap,9.87,6.61,3.2,4.57,30.79,3.72,1527,Filtration,69,481,48,43,28,23467,67.31,58,75,2727,39.46,402,46544,18710688,8981
Bangladesh,South,2017,Well,6.97,7.61,0.85,9.29,9.39,13.54,475,No treatment,40,167,17,51,48,58038,35.05,85,99,256,10.47,224,13225,2962400,503
Bangladesh,East,2021,Tap,1.42,7.79,2.0,4.2,10.53,2.3,2956,Filtration,57,436,0,82,71,65662,62.61,53,49,1358,10.15,301,46544,14009744,0
Bangladesh,North,2004,Pond,9.22,8.12,1.01,6.04,44.21,3.9,494,Chlorination,96,277,15,48,21,46545,10.66,13,66,848,3.47,625,34338,21461250,3219
Bangladesh,East,2009,Lake,0.62,7.62,0.31,9.52,37.11,3.29,3464,Chlorination,70,274,6,61,31,1786,0.38,13,48,2719,1.39,299,46544,13916656,834
Bangladesh,South,2009,River,9.64,6.69,1.11,7.85,28.22,5.85,1814,Filtration,58,74,12,69,65,33703,64.6,72,64,2370,11.35,183,13225,2420175,290
Bangladesh,East,2017,Pond,2.87,7.03,1.93,6.97,10.17,15.96,4219,Boiling,79,112,13,62,50,15480,64.36,76,73,417,11.13,85,46544,3956240,514
Bangladesh,North,2020,Pond,3.68,7.13,1.11,9.35,12.51,5.53,589,Boiling,57,64,23,10,47,13944,12.77,24,59,2712,35.42,310,34338,10644780,2448
Bangladesh,East,2012,River,2.79,7.61,1.37,7.85,7.63,12.33,2505,Filtration,78,283,10,82,87,79284,20.32,89,41,876,27.11,980,46544,45613120,4561
Bangladesh,West,2019,Lake,1.57,7.48,0.49,4.18,29.99,4.95,3459,Filtration,39,76,36,20,29,44337,59.62,29,26,1829,7.62,752,40437,30408624,10947
Bangladesh,South,2008,Spring,3.11,7.65,3.67,6.67,15.01,1.31,1777,No treatment,51,109,11,53,79,87733,47.47,70,86,297,29.94,810,13225,10712250,1178
Bangladesh,North,2011,Tap,6.73,6.9,1.16,9.65,18.08,18.25,1546,Filtration,91,144,30,32,14,67697,31.53,33,82,1432,6.52,330,34338,11331540,3399
Bangladesh,Central,2024,Spring,1.33,6.97,1.44,4.86,15.91,19.28,4301,No treatment,54,12,12,42,98,82211,40.62,34,45,651,16.78,534,31178,16649052,1997
Bangladesh,West,2023,Pond,6.2,7.3,0.73,3.58,32.66,18.72,282,Boiling,72,161,28,0,88,85727,92.02,56,90,776,15.86,752,40437,30408624,8514
Bangladesh,West,2018,Lake,1.25,7.47,0.02,4.55,46.52,3.39,4250,Chlorination,39,467,32,41,39,95061,98.0,26,57,746,2.47,491,40437,19854567,6353
Bangladesh,East,2012,River,5.11,7.71,2.28,5.67,11.04,19.85,4114,No treatment,39,16,37,34,77,24385,65.95,79,77,842,33.78,627,46544,29183088,10797
Bangladesh,South,2017,Lake,5.22,6.43,2.09,4.77,21.7,13.28,1927,Chlorination,98,406,17,20,48,83065,6.87,69,55,1523,16.62,620,13225,8199500,1393
Bangladesh,South,2017,Tap,5.2,7.17,4.02,5.32,35.17,2.01,2153,Chlorination,32,169,41,71,66,45639,6.82,47,37,1401,23.3,278,13225,3676550,1507
Bangladesh,West,2018,River,0.58,7.02,0.17,7.07,47.98,5.67,3120,Boiling,45,192,44,36,32,16649,15.95,14,32,2024,36.53,211,40437,8532207,3754
Bangladesh,South,2013,Pond,3.94,6.93,3.64,7.9,48.62,17.61,2538,Chlorination,55,496,11,99,59,51492,78.38,72,38,2640,18.14,886,13225,11717350,1288
Bangladesh,North,2007,Lake,9.12,7.75,2.25,6.72,9.67,2.13,1047,Boiling,42,278,42,41,49,11031,87.62,35,38,1356,34.88,486,34338,16688268,7009
Bangladesh,South,2000,Well,6.78,7.7,4.44,3.25,43.85,10.45,1819,Filtration,66,477,24,11,50,57320,21.72,88,38,1807,12.61,227,13225,3002075,720
